,대회날짜,대회명,선수이름,챔피언,스펠1,스펠2,승/패,킬,데스,어시,KDA,킬관여율
103,17.10.28,2017 LoL World Championship 4강 1경기 2세트,RNG Mlxg,녹턴,점멸,강타,패,0,5,5,1,63%
104,17.10.28,2017 LoL World Championship 4강 1경기 2세트,RNG Letme,나르,순간이동,점멸,패,5,4,1,1.5,75%
105,17.10.28,2017 LoL World Championship 4강 1경기 2세트,SKT T1 Wolf,레오나,점화,점멸,승,2,1,9,11,73%
106,17.10.28,2017 LoL World Championship 4강 1경기 2세트,SKT T1 Bang,바루스,회복,점멸,승,2,2,7,4.5,60%
107,17.10.28,2017 LoL World Championship 4강 1경기 2세트,SKT T1 Faker,갈리오,순간이동,점멸,승,3,0,8,13.2,73%
108,17.10.28,2017 LoL World Championship 4강 1경기 2세트,SKT T1 Blank,그라가스,강타,점멸,승,3,3,7,3.3,67%
109,17.10.28,2017 LoL World Championship 4강 1경기 2세트,SKT T1 Huni,카밀,순간이동,점멸,승,5,2,3,4,53%
110,17.10.28,2017 LoL World Championship 4강 1경기 1세트,SKT T1 wolf,블리츠크랭크,점화,점멸,패,0,5,3,0.6,43%
111,17.10.28,2017 LoL World Championship 4강 1경기 1세트,SKT T1 Bang,트리스타나,회복,점멸,패,3,3,1,1.3,57%
112,17.10.28,2017 LoL World Championship 4강 1경기 1세트,SKT T1 Faker,갈리오,순간이동,점멸,패,2,3,4,2,86%
113,17.10.28,2017 LoL World Championship 4강 1경기 1세트,SKT T1 Blank,자크,강타,점멸,패,0,3,4,1.3,57%
114,17.10.28,2017 LoL World Championship 4강 1경기 1세트,SKT T1 Huni,갱플랭크,순간이동,점멸,패,2,4,4,1.5,86%
115,17.10.28,2017 LoL World Championship 4강 1경기 1세트,RNG Ming,잔나,회복,점멸,승,1,0,1,16.8,78%
116,17.10.28,2017 LoL World Championship 4강 1경기 1세트,RNG Uzi,트위치,방어막,점멸,승,6,2,5,5.5,61%
117,17.10.28,2017 LoL World Championship 4강 1경기 1세트,RNG Xiaohu,말자하,점멸,유체화,승,4,3,7,3.7,61%
118,17.10.28,2017 LoL World Championship 4강 1경기 1세트,RNG Mlxg,세주아니,점멸,강타,승,5,2,7,6,67%
119,17.10.28,2017 LoL World Championship 4강 1경기 1세트,RNG Letme,쉔,순간이동,점멸,승,2,0,9,13.2,61%
120,17.10.22,2017 LoL World Championship 8강 4경기 5세트,C9 Smoothie,룰루,점멸,회복,패,0,0,4,4.8,57%
121,17.10.22,2017 LoL World Championship 8강 4경기 5세트,C9 Sneaky,케이틀린,점멸,방어막,패,1,2,3,2,57%
122,17.10.22,2017 LoL World Championship 8강 4경기 5세트,C9 Jensen,오리아나,점멸,정화,패,3,1,3,6,86%
123,17.10.22,2017 LoL World Championship 8강 4경기 5세트,C9 Contractz,세주아니,강타,점멸,패,1,1,6,7,100%
124,17.10.22,2017 LoL World Championship 8강 4경기 5세트,C9 Impact,쉔,점멸,순간이동,패,2,4,5,1.8,100%
125,17.10.22,2017 LoL World Championship 8강 4경기 5세트,WE Ben,잔나,점멸,회복,승,0,3,7,2.3,88%
126,17.10.22,2017 LoL World Championship 8강 4경기 5세트,WE Mystic,코그모,방어막,점멸,승,4,1,4,8,100%
127,17.10.22,2017 LoL World Championship 8강 4경기 5세트,WE xiye,갈리오,순간이동,점멸,승,2,1,5,7,88%
